Indicator,Country,Time,Value
"Adult literacy rate, population 15+ years, gender parity index (GPI)",Martinique,2012,0.99
"Adult literacy rate, population 15+ years, gender parity index (GPI)",Martinique,2015,0.99
"Youth literacy rate, population 15-24 years, female (%)",Zambia,1999,66.23
"Youth literacy rate, population 15-24 years, female (%)",Zambia,2002,66.31
"Youth literacy rate, population 15-24 years, female (%)",Zambia,2007,58.48
"Youth literacy rate, population 15-24 years, female (%)",Zambia,2015,62.13
"Adult literacy rate, population 15+ years, female (%)",Central Asia,1999,98.63
"Adult literacy rate, population 15+ years, female (%)",Central Asia,2000,98.63
"Adult literacy rate, population 15+ years, female (%)",Central Asia,2001,98.63
"Adult literacy rate, population 15+ years, female (%)",Central Asia,2002,98.63
"Adult literacy rate, population 15+ years, female (%)",Central Asia,2003,98.63
"Adult literacy rate, population 15+ years, female (%)",Central Asia,2004,98.63
"Adult literacy rate, population 15+ years, female (%)",Central Asia,2005,99.45
"Adult literacy rate, population 15+ years, female (%)",Central Asia,2006,99.45
"Adult literacy rate, population 15+ years, female (%)",Central Asia,2007,99.45
"Adult literacy rate, population 15+ years, female (%)",Central Asia,2008,99.45
"Adult literacy rate, population 15+ years, female (%)",Central Asia,2009,99.45
"Adult literacy rate, population 15+ years, female (%)",Central Asia,2010,99.45
"Adult literacy rate, population 15+ years, female (%)",Central Asia,2011,99.45
"Adult literacy rate, population 15+ years, female (%)",Central Asia,2012,99.45
"Youth literacy rate, population 15-24 years, female (%)",Northern Africa,1999,73.77
"Youth literacy rate, population 15-24 years, female (%)",Northern Africa,2000,73.77
"Youth literacy rate, population 15-24 years, female (%)",Northern Africa,2001,73.77
"Youth literacy rate, population 15-24 years, female (%)",Northern Africa,2002,73.77
"Youth literacy rate, population 15-24 years, female (%)",Northern Africa,2003,73.77
"Youth literacy rate, population 15-24 years, female (%)",Northern Africa,2004,73.77
"Youth literacy rate, population 15-24 years, female (%)",Northern Africa,2005,85.58
"Youth literacy rate, population 15-24 years, female (%)",Northern Africa,2006,85.58
"Youth literacy rate, population 15-24 years, female (%)",Northern Africa,2007,85.58
"Youth literacy rate, population 15-24 years, female (%)",Northern Africa,2008,85.58
"Youth literacy rate, population 15-24 years, female (%)",Northern Africa,2009,85.58
"Youth literacy rate, population 15-24 years, female (%)",Northern Africa,2010,85.58
"Youth literacy rate, population 15-24 years, female (%)",Northern Africa,2011,85.58
"Youth literacy rate, population 15-24 years, female (%)",Northern Africa,2012,85.58
"Youth literacy rate, population 15-24 years, both sexes (%)",Lithuania,2001,99.70
"Youth literacy rate, population 15-24 years, both sexes (%)",Lithuania,2011,99.86
"Youth literacy rate, population 15-24 years, both sexes (%)",Lithuania,2015,99.91
"Youth literacy rate, population 15-24 years, female (%)",Guadeloupe,2004,99.87
"Youth literacy rate, population 15-24 years, female (%)",Guadeloupe,2012,99.94
"Youth literacy rate, population 15-24 years, female (%)",Guadeloupe,2015,99.96
"Youth literacy rate, population 15-24 years, male (%)",Palestine,2004,99.02
"Youth literacy rate, population 15-24 years, male (%)",Palestine,2006,99.04
"Youth literacy rate, population 15-24 years, male (%)",Palestine,2007,99.13
"Youth literacy rate, population 15-24 years, male (%)",Palestine,2008,99.27
"Youth literacy rate, population 15-24 years, male (%)",Palestine,2009,99.23
"Youth literacy rate, population 15-24 years, male (%)",Palestine,2010,99.21
"Youth literacy rate, population 15-24 years, male (%)",Palestine,2011,99.26
"Youth literacy rate, population 15-24 years, male (%)",Palestine,2012,99.35
"Youth literacy rate, population 15-24 years, male (%)",Palestine,2015,99.45
"Adult literacy rate, population 15+ years, gender parity index (GPI)",Qatar,2004,0.99
"Adult literacy rate, population 15+ years, gender parity index (GPI)",Qatar,2007,0.96
"Adult literacy rate, population 15+ years, gender parity index (GPI)",Qatar,2008,0.98
"Adult literacy rate, population 15+ years, gender parity index (GPI)",Qatar,2009,0.98
"Adult literacy rate, population 15+ years, gender parity index (GPI)",Qatar,2010,0.99
"Adult literacy rate, population 15+ years, gender parity index (GPI)",Qatar,2011,0.99
"Adult literacy rate, population 15+ years, gender parity index (GPI)",Qatar,2012,0.99
"Adult literacy rate, population 15+ years, gender parity index (GPI)",Qatar,2015,0.99
"Adult literacy rate, population 15+ years, male (%)",Iran (Islamic Republic of),2002,83.50
"Adult literacy rate, population 15+ years, male (%)",Iran (Islamic Republic of),2005,88.01
"Adult literacy rate, population 15+ years, male (%)",Iran (Islamic Republic of),2006,87.27
"Adult literacy rate, population 15+ years, male (%)",Iran (Islamic Republic of),2008,89.28
"Adult literacy rate, population 15+ years, male (%)",Iran (Islamic Republic of),2012,89.36
"Adult literacy rate, population 15+ years, male (%)",Iran (Islamic Republic of),2015,91.19
"Youth literacy rate, population 15-24 years, male (%)",World,1999,90.53
"Youth literacy rate, population 15-24 years, male (%)",World,2000,90.53
"Youth literacy rate, population 15-24 years, male (%)",World,2001,90.53
"Youth literacy rate, population 15-24 years, male (%)",World,2002,90.53
"Youth literacy rate, population 15-24 years, male (%)",World,2003,90.53
"Youth literacy rate, population 15-24 years, male (%)",World,2004,90.53
"Youth literacy rate, population 15-24 years, male (%)",World,2005,92.09
"Youth literacy rate, population 15-24 years, male (%)",World,2006,92.09
"Youth literacy rate, population 15-24 years, male (%)",World,2007,92.09
"Youth literacy rate, population 15-24 years, male (%)",World,2008,92.09
"Youth literacy rate, population 15-24 years, male (%)",World,2009,92.09
"Youth literacy rate, population 15-24 years, male (%)",World,2010,92.09
"Youth literacy rate, population 15-24 years, male (%)",World,2011,92.09
"Youth literacy rate, population 15-24 years, male (%)",World,2012,92.09
"Youth literacy rate, population 15-24 years, male (%)",Morocco,2004,80.80
"Youth literacy rate, population 15-24 years, male (%)",Morocco,2008,85.81
"Youth literacy rate, population 15-24 years, male (%)",Morocco,2009,86.73
"Youth literacy rate, population 15-24 years, male (%)",Morocco,2011,88.83
"Youth literacy rate, population 15-24 years, male (%)",Morocco,2015,90.10
"Youth literacy rate, population 15-24 years, male (%)",United Republic of Tanzania,2002,80.92
"Youth literacy rate, population 15-24 years, male (%)",United Republic of Tanzania,2010,76.49
"Youth literacy rate, population 15-24 years, male (%)",United Republic of Tanzania,2015,76.76
"Adult literacy rate, population 15+ years, male (%)",South and West Asia,1999,70.41
"Adult literacy rate, population 15+ years, male (%)",South and West Asia,2000,70.41
"Adult literacy rate, population 15+ years, male (%)",South and West Asia,2001,70.41
"Adult literacy rate, population 15+ years, male (%)",South and West Asia,2002,70.41
"Adult literacy rate, population 15+ years, male (%)",South and West Asia,2003,70.41
"Adult literacy rate, population 15+ years, male (%)",South and West Asia,2004,70.41
"Adult literacy rate, population 15+ years, male (%)",South and West Asia,2005,73.63
"Adult literacy rate, population 15+ years, male (%)",South and West Asia,2006,73.63
"Adult literacy rate, population 15+ years, male (%)",South and West Asia,2007,73.63
"Adult literacy rate, population 15+ years, male (%)",South and West Asia,2008,73.63
"Adult literacy rate, population 15+ years, male (%)",South and West Asia,2009,73.63
"Adult literacy rate, population 15+ years, male (%)",South and West Asia,2010,73.63
"Adult literacy rate, population 15+ years, male (%)",South and West Asia,2011,73.63
"Adult literacy rate, population 15+ years, male (%)",South and West Asia,2012,73.63
"Adult literacy rate, population 15+ years, female (%)",Burundi,2000,52.24
"Adult literacy rate, population 15+ years, female (%)",Burundi,2008,84.59
"Adult literacy rate, population 15+ years, female (%)",Burundi,2015,83.12
"Adult literacy rate, population 15+ years, female (%)",Sub-Saharan Africa,1999,48.14
"Adult literacy rate, population 15+ years, female (%)",Sub-Saharan Africa,2000,48.14
"Adult literacy rate, population 15+ years, female (%)",Sub-Saharan Africa,2001,48.14
"Adult literacy rate, population 15+ years, female (%)",Sub-Saharan Africa,2002,48.14
"Adult literacy rate, population 15+ years, female (%)",Sub-Saharan Africa,2003,48.14
"Adult literacy rate, population 15+ years, female (%)",Sub-Saharan Africa,2004,48.14
"Adult literacy rate, population 15+ years, female (%)",Sub-Saharan Africa,2005,51.08
"Adult literacy rate, population 15+ years, female (%)",Sub-Saharan Africa,2006,51.08
"Adult literacy rate, population 15+ years, female (%)",Sub-Saharan Africa,2007,51.08
"Adult literacy rate, population 15+ years, female (%)",Sub-Saharan Africa,2008,51.08
"Adult literacy rate, population 15+ years, female (%)",Sub-Saharan Africa,2009,51.08
"Adult literacy rate, population 15+ years, female (%)",Sub-Saharan Africa,2010,51.08
"Adult literacy rate, population 15+ years, female (%)",Sub-Saharan Africa,2011,51.08
"Adult literacy rate, population 15+ years, female (%)",Sub-Saharan Africa,2012,51.08
"Youth literacy rate, population 15-24 years, both sexes (%)",Russian Federation,2002,99.72
"Youth literacy rate, population 15-24 years, both sexes (%)",Russian Federation,2010,99.71
"Youth literacy rate, population 15-24 years, both sexes (%)",Russian Federation,2015,99.70
"Youth literacy rate, population 15-24 years, both sexes (%)",Uzbekistan,2000,99.87
"Youth literacy rate, population 15-24 years, both sexes (%)",Uzbekistan,2012,99.94
"Youth literacy rate, population 15-24 years, both sexes (%)",Uzbekistan,2015,99.95
"Youth literacy rate, population 15-24 years, gender parity index (GPI)",Cªte d'Ivoire,2000,0.74
"Youth literacy rate, population 15-24 years, gender parity index (GPI)",Cªte d'Ivoire,2012,0.66
"Youth literacy rate, population 15-24 years, gender parity index (GPI)",Cªte d'Ivoire,2015,0.68
"Adult literacy rate, population 15+ years, both sexes (%)",Caucasus and Central Asia,1999,99.05
"Adult literacy rate, population 15+ years, both sexes (%)",Caucasus and Central Asia,2000,99.05
"Adult literacy rate, population 15+ years, both sexes (%)",Caucasus and Central Asia,2001,99.05
"Adult literacy rate, population 15+ years, both sexes (%)",Caucasus and Central Asia,2002,99.05
"Adult literacy rate, population 15+ years, both sexes (%)",Caucasus and Central Asia,2003,99.05
"Adult literacy rate, population 15+ years, both sexes (%)",Caucasus and Central Asia,2004,99.05
"Adult literacy rate, population 15+ years, both sexes (%)",Caucasus and Central Asia,2005,99.61
"Adult literacy rate, population 15+ years, both sexes (%)",Caucasus and Central Asia,2006,99.61
"Adult literacy rate, population 15+ years, both sexes (%)",Caucasus and Central Asia,2007,99.61
"Adult literacy rate, population 15+ years, both sexes (%)",Caucasus and Central Asia,2008,99.61
"Adult literacy rate, population 15+ years, both sexes (%)",Caucasus and Central Asia,2009,99.61
"Adult literacy rate, population 15+ years, both sexes (%)",Caucasus and Central Asia,2010,99.61
"Adult literacy rate, population 15+ years, both sexes (%)",Caucasus and Central Asia,2011,99.61
"Adult literacy rate, population 15+ years, both sexes (%)",Caucasus and Central Asia,2012,99.61
"Adult literacy rate, population 15+ years, both sexes (%)",Maldives,2000,96.33
"Adult literacy rate, population 15+ years, both sexes (%)",Maldives,2006,98.40
"Adult literacy rate, population 15+ years, both sexes (%)",Maldives,2015,99.31
"Youth literacy rate, population 15-24 years, male (%)",South America,1999,96.71
"Youth literacy rate, population 15-24 years, male (%)",South America,2000,96.71
"Youth literacy rate, population 15-24 years, male (%)",South America,2001,96.71
"Youth literacy rate, population 15-24 years, male (%)",South America,2002,96.71
"Youth literacy rate, population 15-24 years, male (%)",South America,2003,96.71
"Youth literacy rate, population 15-24 years, male (%)",South America,2004,96.71
"Youth literacy rate, population 15-24 years, male (%)",South America,2005,98.36
"Youth literacy rate, population 15-24 years, male (%)",South America,2006,98.36
"Youth literacy rate, population 15-24 years, male (%)",South America,2007,98.36
"Youth literacy rate, population 15-24 years, male (%)",South America,2008,98.36
"Youth literacy rate, population 15-24 years, male (%)",South America,2009,98.36
"Youth literacy rate, population 15-24 years, male (%)",South America,2010,98.36
"Youth literacy rate, population 15-24 years, male (%)",South America,2011,98.36
"Youth literacy rate, population 15-24 years, male (%)",South America,2012,98.36
"Youth literacy rate, population 15-24 years, gender parity index (GPI)",United Arab Emirates,2005,1.04
"Youth literacy rate, population 15-24 years, gender parity index (GPI)",United Arab Emirates,2015,0.99
"Youth literacy rate, population 15-24 years, gender parity index (GPI)",Peru,2004,0.98
"Youth literacy rate, population 15-24 years, gender parity index (GPI)",Peru,2005,0.98
"Youth literacy rate, population 15-24 years, gender parity index (GPI)",Peru,2006,0.98
"Youth literacy rate, population 15-24 years, gender parity index (GPI)",Peru,2007,0.99
"Youth literacy rate, population 15-24 years, gender parity index (GPI)",Peru,2012,1.00
"Youth literacy rate, population 15-24 years, gender parity index (GPI)",Peru,2015,1.00
"Youth literacy rate, population 15-24 years, male (%)",Cameroon,2000,88.42
"Youth literacy rate, population 15-24 years, male (%)",Cameroon,2007,89.42
"Youth literacy rate, population 15-24 years, male (%)",Cameroon,2010,85.40
"Youth literacy rate, population 15-24 years, male (%)",Cameroon,2015,87.12
"Youth literacy rate, population 15-24 years, female (%)",Central and Eastern Europe,1999,98.37
"Youth literacy rate, population 15-24 years, female (%)",Central and Eastern Europe,2000,98.37
"Youth literacy rate, population 15-24 years, female (%)",Central and Eastern Europe,2001,98.37
"Youth literacy rate, population 15-24 years, female (%)",Central and Eastern Europe,2002,98.37
"Youth literacy rate, population 15-24 years, female (%)",Central and Eastern Europe,2003,98.37
"Youth literacy rate, population 15-24 years, female (%)",Central and Eastern Europe,2004,98.37
"Youth literacy rate, population 15-24 years, female (%)",Central and Eastern Europe,2005,99.39
"Youth literacy rate, population 15-24 years, female (%)",Central and Eastern Europe,2006,99.39
"Youth literacy rate, population 15-24 years, female (%)",Central and Eastern Europe,2007,99.39
"Youth literacy rate, population 15-24 years, female (%)",Central and Eastern Europe,2008,99.39
"Youth literacy rate, population 15-24 years, female (%)",Central and Eastern Europe,2009,99.39
"Youth literacy rate, population 15-24 years, female (%)",Central and Eastern Europe,2010,99.39
"Youth literacy rate, population 15-24 years, female (%)",Central and Eastern Europe,2011,99.39
"Youth literacy rate, population 15-24 years, female (%)",Central and Eastern Europe,2012,99.39
"Elderly literacy rate, population 65+ years, both sexes (%)",Burkina Faso,2003,4.83
"Elderly literacy rate, population 65+ years, both sexes (%)",Burkina Faso,2005,5.12
"Elderly literacy rate, population 65+ years, both sexes (%)",Burkina Faso,2006,2.98
"Elderly literacy rate, population 65+ years, both sexes (%)",Burkina Faso,2007,9.06
"Youth literacy rate, population 15-24 years, female (%)",Eastern Asia,1999,98.58
"Youth literacy rate, population 15-24 years, female (%)",Eastern Asia,2000,98.58
"Youth literacy rate, population 15-24 years, female (%)",Eastern Asia,2001,98.58
"Youth literacy rate, population 15-24 years, female (%)",Eastern Asia,2002,98.58
"Youth literacy rate, population 15-24 years, female (%)",Eastern Asia,2003,98.58
"Youth literacy rate, population 15-24 years, female (%)",Eastern Asia,2004,98.58
"Youth literacy rate, population 15-24 years, female (%)",Eastern Asia,2005,99.61
"Youth literacy rate, population 15-24 years, female (%)",Eastern Asia,2006,99.61
"Youth literacy rate, population 15-24 years, female (%)",Eastern Asia,2007,99.61
"Youth literacy rate, population 15-24 years, female (%)",Eastern Asia,2008,99.61
"Youth literacy rate, population 15-24 years, female (%)",Eastern Asia,2009,99.61
"Youth literacy rate, population 15-24 years, female (%)",Eastern Asia,2010,99.61
"Youth literacy rate, population 15-24 years, female (%)",Eastern Asia,2011,99.61
"Youth literacy rate, population 15-24 years, female (%)",Eastern Asia,2012,99.61
"Youth literacy rate, population 15-24 years, female (%)",Cameroon,2000,77.96
"Youth literacy rate, population 15-24 years, female (%)",Cameroon,2007,77.48
"Youth literacy rate, population 15-24 years, female (%)",Cameroon,2010,76.42
"Youth literacy rate, population 15-24 years, female (%)",Cameroon,2015,80.45
"Adult literacy rate, population 15+ years, male (%)",Southern Asia,1999,70.41
"Adult literacy rate, population 15+ years, male (%)",Southern Asia,2000,70.41
"Adult literacy rate, population 15+ years, male (%)",Southern Asia,2001,70.41
"Adult literacy rate, population 15+ years, male (%)",Southern Asia,2002,70.41
"Adult literacy rate, population 15+ years, male (%)",Southern Asia,2003,70.41
"Adult literacy rate, population 15+ years, male (%)",Southern Asia,2004,70.41
"Adult literacy rate, population 15+ years, male (%)",Southern Asia,2005,73.63
"Adult literacy rate, population 15+ years, male (%)",Southern Asia,2006,73.63
"Adult literacy rate, population 15+ years, male (%)",Southern Asia,2007,73.63
"Adult literacy rate, population 15+ years, male (%)",Southern Asia,2008,73.63
"Adult literacy rate, population 15+ years, male (%)",Southern Asia,2009,73.63
"Adult literacy rate, population 15+ years, male (%)",Southern Asia,2010,73.63
"Adult literacy rate, population 15+ years, male (%)",Southern Asia,2011,73.63
"Adult literacy rate, population 15+ years, male (%)",Southern Asia,2012,73.63
"Adult literacy rate, population 15+ years, both sexes (%)",Central and Eastern Europe,1999,97.39
"Adult literacy rate, population 15+ years, both sexes (%)",Central and Eastern Europe,2000,97.39
"Adult literacy rate, population 15+ years, both sexes (%)",Central and Eastern Europe,2001,97.39
"Adult literacy rate, population 15+ years, both sexes (%)",Central and Eastern Europe,2002,97.39
"Adult literacy rate, population 15+ years, both sexes (%)",Central and Eastern Europe,2003,97.39
"Adult literacy rate, population 15+ years, both sexes (%)",Central and Eastern Europe,2004,97.39
"Adult literacy rate, population 15+ years, both sexes (%)",Central and Eastern Europe,2005,98.73
"Adult literacy rate, population 15+ years, both sexes (%)",Central and Eastern Europe,2006,98.73
"Adult literacy rate, population 15+ years, both sexes (%)",Central and Eastern Europe,2007,98.73
"Adult literacy rate, population 15+ years, both sexes (%)",Central and Eastern Europe,2008,98.73
"Adult literacy rate, population 15+ years, both sexes (%)",Central and Eastern Europe,2009,98.73
"Adult literacy rate, population 15+ years, both sexes (%)",Central and Eastern Europe,2010,98.73
"Adult literacy rate, population 15+ years, both sexes (%)",Central and Eastern Europe,2011,98.73
"Adult literacy rate, population 15+ years, both sexes (%)",Central and Eastern Europe,2012,98.73
"Adult literacy rate, population 15+ years, both sexes (%)",Central and Eastern Europe,2015,98.70
"Youth literacy rate, population 15-24 years, both sexes (%)",Belarus,1999,99.79
"Youth literacy rate, population 15-24 years, both sexes (%)",Belarus,2009,99.82
"Youth literacy rate, population 15-24 years, both sexes (%)",Belarus,2015,99.84
"Adult literacy rate, population 15+ years, female (%)",Tunisia,2004,65.35
"Adult literacy rate, population 15+ years, female (%)",Tunisia,2007,68.51
"Adult literacy rate, population 15+ years, female (%)",Tunisia,2008,70.96
"Adult literacy rate, population 15+ years, female (%)",Tunisia,2010,71.09
"Adult literacy rate, population 15+ years, female (%)",Tunisia,2011,71.73
"Adult literacy rate, population 15+ years, female (%)",Tunisia,2015,74.24
"Youth literacy rate, population 15-24 years, gender parity index (GPI)",Ethiopia,2004,0.62
"Youth literacy rate, population 15-24 years, gender parity index (GPI)",Ethiopia,2005,0.60
"Youth literacy rate, population 15-24 years, gender parity index (GPI)",Ethiopia,2007,0.75
"Youth literacy rate, population 15-24 years, gender parity index (GPI)",Ethiopia,2015,0.95
"Youth literacy rate, population 15-24 years, female (%)",Syrian Arab Republic,2002,92.96
"Youth literacy rate, population 15-24 years, female (%)",Syrian Arab Republic,2004,90.22
"Youth literacy rate, population 15-24 years, female (%)",Syrian Arab Republic,2012,94.49
"Youth literacy rate, population 15-24 years, female (%)",Syrian Arab Republic,2015,95.55
"Adult literacy rate, population 15+ years, female (%)",Developing countries,1999,70.22
"Adult literacy rate, population 15+ years, female (%)",Developing countries,2000,70.22
"Adult literacy rate, population 15+ years, female (%)",Developing countries,2001,70.22
"Adult literacy rate, population 15+ years, female (%)",Developing countries,2002,70.22
"Adult literacy rate, population 15+ years, female (%)",Developing countries,2003,70.22
"Adult literacy rate, population 15+ years, female (%)",Developing countries,2004,70.22
"Adult literacy rate, population 15+ years, female (%)",Developing countries,2005,75.00
"Adult literacy rate, population 15+ years, female (%)",Developing countries,2006,75.00
"Adult literacy rate, population 15+ years, female (%)",Developing countries,2007,75.00
"Adult literacy rate, population 15+ years, female (%)",Developing countries,2008,75.00
"Adult literacy rate, population 15+ years, female (%)",Developing countries,2009,75.00
"Adult literacy rate, population 15+ years, female (%)",Developing countries,2010,75.00
"Adult literacy rate, population 15+ years, female (%)",Developing countries,2011,75.00
"Adult literacy rate, population 15+ years, female (%)",Developing countries,2012,75.00
"Youth literacy rate, population 15-24 years, both sexes (%)",China,2000,98.86
"Youth literacy rate, population 15-24 years, both sexes (%)",China,2010,99.64
"Youth literacy rate, population 15-24 years, both sexes (%)",China,2015,99.73
"Youth literacy rate, population 15-24 years, male (%)",Benin,2002,59.21
"Youth literacy rate, population 15-24 years, male (%)",Benin,2006,54.87
"Youth literacy rate, population 15-24 years, male (%)",Benin,2015,62.58
"Youth literacy rate, population 15-24 years, both sexes (%)",Sao Tome and Principe,2001,95.42
"Youth literacy rate, population 15-24 years, both sexes (%)",Sao Tome and Principe,2008,80.20
"Youth literacy rate, population 15-24 years, both sexes (%)",Sao Tome and Principe,2015,83.15
"Youth literacy rate, population 15-24 years, female (%)",Nicaragua,2001,88.82
"Youth literacy rate, population 15-24 years, female (%)",Nicaragua,2005,88.84
"Youth literacy rate, population 15-24 years, female (%)",Nicaragua,2015,93.61
"Youth literacy rate, population 15-24 years, gender parity index (GPI)",Swaziland,2000,1.02
"Youth literacy rate, population 15-24 years, gender parity index (GPI)",Swaziland,2010,1.03
"Youth literacy rate, population 15-24 years, gender parity index (GPI)",Swaziland,2015,1.03
"Youth literacy rate, population 15-24 years, male (%)",World,1999,90.53
"Youth literacy rate, population 15-24 years, male (%)",World,2000,90.53
"Youth literacy rate, population 15-24 years, male (%)",World,2001,90.53
"Youth literacy rate, population 15-24 years, male (%)",World,2002,90.53
"Youth literacy rate, population 15-24 years, male (%)",World,2003,90.53
"Youth literacy rate, population 15-24 years, male (%)",World,2004,90.53
"Youth literacy rate, population 15-24 years, male (%)",World,2005,92.09
"Youth literacy rate, population 15-24 years, male (%)",World,2006,92.09
"Youth literacy rate, population 15-24 years, male (%)",World,2007,92.09
"Youth literacy rate, population 15-24 years, male (%)",World,2008,92.09
"Youth literacy rate, population 15-24 years, male (%)",World,2009,92.09
"Youth literacy rate, population 15-24 years, male (%)",World,2010,92.09
"Youth literacy rate, population 15-24 years, male (%)",World,2011,92.09
"Youth literacy rate, population 15-24 years, male (%)",World,2012,92.09
"Adult literacy rate, population 15+ years, female (%)",Pakistan,2005,35.37
"Adult literacy rate, population 15+ years, female (%)",Pakistan,2006,39.61
"Adult literacy rate, population 15+ years, female (%)",Pakistan,2008,40.08
"Adult literacy rate, population 15+ years, female (%)",Pakistan,2009,40.31
"Adult literacy rate, population 15+ years, female (%)",Pakistan,2010,41.02
"Adult literacy rate, population 15+ years, female (%)",Pakistan,2011,41.98
"Adult literacy rate, population 15+ years, female (%)",Pakistan,2015,45.81
"Youth literacy rate, population 15-24 years, gender parity index (GPI)",Nepal,2001,0.75
"Youth literacy rate, population 15-24 years, gender parity index (GPI)",Nepal,2011,0.87
"Youth literacy rate, population 15-24 years, gender parity index (GPI)",Nepal,2015,0.91
"Youth literacy rate, population 15-24 years, both sexes (%)",Guyana,2009,93.10
"Youth literacy rate, population 15-24 years, both sexes (%)",Guyana,2015,94.38
"Youth literacy rate, population 15-24 years, male (%)",Qatar,2004,94.89
"Youth literacy rate, population 15-24 years, male (%)",Qatar,2007,99.10
"Youth literacy rate, population 15-24 years, male (%)",Qatar,2008,95.32
"Youth literacy rate, population 15-24 years, male (%)",Qatar,2009,97.70
"Youth literacy rate, population 15-24 years, male (%)",Qatar,2010,96.32
"Youth literacy rate, population 15-24 years, male (%)",Qatar,2011,97.58
"Youth literacy rate, population 15-24 years, male (%)",Qatar,2012,98.69
"Youth literacy rate, population 15-24 years, male (%)",Qatar,2015,99.41
"Youth literacy rate, population 15-24 years, female (%)",Countries in transition,1999,99.78
"Youth literacy rate, population 15-24 years, female (%)",Countries in transition,2000,99.78
"Youth literacy rate, population 15-24 years, female (%)",Countries in transition,2001,99.78
"Youth literacy rate, population 15-24 years, female (%)",Countries in transition,2002,99.78
"Youth literacy rate, population 15-24 years, female (%)",Countries in transition,2003,99.78
"Youth literacy rate, population 15-24 years, female (%)",Countries in transition,2004,99.78
"Youth literacy rate, population 15-24 years, female (%)",Countries in transition,2005,99.79
"Youth literacy rate, population 15-24 years, female (%)",Countries in transition,2006,99.79
"Youth literacy rate, population 15-24 years, female (%)",Countries in transition,2007,99.79
"Youth literacy rate, population 15-24 years, female (%)",Countries in transition,2008,99.79
"Youth literacy rate, population 15-24 years, female (%)",Countries in transition,2009,99.79
"Youth literacy rate, population 15-24 years, female (%)",Countries in transition,2010,99.79
"Youth literacy rate, population 15-24 years, female (%)",Countries in transition,2011,99.79
"Youth literacy rate, population 15-24 years, female (%)",Countries in transition,2012,99.79
"Youth literacy rate, population 15-24 years, female (%)",Countries in transition,2015,99.80
"Youth literacy rate, population 15-24 years, both sexes (%)",Bolivia (Plurinational State of),2001,97.32
"Youth literacy rate, population 15-24 years, both sexes (%)",Bolivia (Plurinational State of),2007,99.44
"Youth literacy rate, population 15-24 years, both sexes (%)",Bolivia (Plurinational State of),2008,99.12
"Youth literacy rate, population 15-24 years, both sexes (%)",Bolivia (Plurinational State of),2009,99.38
"Youth literacy rate, population 15-24 years, both sexes (%)",Bolivia (Plurinational State of),2011,99.01
"Youth literacy rate, population 15-24 years, both sexes (%)",Bolivia (Plurinational State of),2012,99.00
"Youth literacy rate, population 15-24 years, both sexes (%)",Bolivia (Plurinational State of),2015,99.04
"Youth literacy rate, population 15-24 years, male (%)",East Asia and the Pacific,1999,98.32
"Youth literacy rate, population 15-24 years, male (%)",East Asia and the Pacific,2000,98.32
"Youth literacy rate, population 15-24 years, male (%)",East Asia and the Pacific,2001,98.32
"Youth literacy rate, population 15-24 years, male (%)",East Asia and the Pacific,2002,98.32
"Youth literacy rate, population 15-24 years, male (%)",East Asia and the Pacific,2003,98.32
"Youth literacy rate, population 15-24 years, male (%)",East Asia and the Pacific,2004,98.32
"Youth literacy rate, population 15-24 years, male (%)",East Asia and the Pacific,2005,98.92
"Youth literacy rate, population 15-24 years, male (%)",East Asia and the Pacific,2006,98.92
"Youth literacy rate, population 15-24 years, male (%)",East Asia and the Pacific,2007,98.92
"Youth literacy rate, population 15-24 years, male (%)",East Asia and the Pacific,2008,98.92
"Youth literacy rate, population 15-24 years, male (%)",East Asia and the Pacific,2009,98.92
"Youth literacy rate, population 15-24 years, male (%)",East Asia and the Pacific,2010,98.92
"Youth literacy rate, population 15-24 years, male (%)",East Asia and the Pacific,2011,98.92
"Youth literacy rate, population 15-24 years, male (%)",East Asia and the Pacific,2012,98.92
"Youth literacy rate, population 15-24 years, male (%)",East Asia and the Pacific,2015,98.90
"Youth literacy rate, population 15-24 years, male (%)",Greece,2001,98.89
"Youth literacy rate, population 15-24 years, male (%)",Greece,2012,99.45
"Youth literacy rate, population 15-24 years, male (%)",Greece,2015,99.53
"Adult literacy rate, population 15+ years, female (%)",Rwanda,2000,59.75
"Adult literacy rate, population 15+ years, female (%)",Rwanda,2010,61.55
"Adult literacy rate, population 15+ years, female (%)",Rwanda,2015,68.02
"Adult literacy rate, population 15+ years, female (%)",Lower middle income countries,1999,58.15
"Adult literacy rate, population 15+ years, female (%)",Lower middle income countries,2000,58.15
"Adult literacy rate, population 15+ years, female (%)",Lower middle income countries,2001,58.15
"Adult literacy rate, population 15+ years, female (%)",Lower middle income countries,2002,58.15
"Adult literacy rate, population 15+ years, female (%)",Lower middle income countries,2003,58.15
"Adult literacy rate, population 15+ years, female (%)",Lower middle income countries,2004,58.15
"Adult literacy rate, population 15+ years, female (%)",Lower middle income countries,2005,62.12
"Adult literacy rate, population 15+ years, female (%)",Lower middle income countries,2006,62.12
"Adult literacy rate, population 15+ years, female (%)",Lower middle income countries,2007,62.12
"Adult literacy rate, population 15+ years, female (%)",Lower middle income countries,2008,62.12
"Adult literacy rate, population 15+ years, female (%)",Lower middle income countries,2009,62.12
"Adult literacy rate, population 15+ years, female (%)",Lower middle income countries,2010,62.12
"Adult literacy rate, population 15+ years, female (%)",Lower middle income countries,2011,62.12
